page_id,title,revision_id,article_quality_prediction,country,population,region
76157150.0,Jofre Van-Dúnem Júnior,1242307432.0,Stub,Angola,36.7,MIDDLE AFRICA
71062166.0,João Baptista Borges,1227794006.0,C,Angola,36.7,MIDDLE AFRICA
14941379.0,Kafundanga Chingunji,1191431794.0,Stub,Angola,36.7,MIDDLE AFRICA
71062546.0,Paulino Baptista,1242307496.0,Start,Angola,36.7,MIDDLE AFRICA
67613741.0,Raul Danda,1158035855.0,Stub,Angola,36.7,MIDDLE AFRICA
59124706.0,Álvaro Arnaldo Craveiro,1194150567.0,Stub,Angola,36.7,MIDDLE AFRICA
76157147.0,Ana Paula Sacramento Neto,1227909121.0,Stub,Angola,36.7,MIDDLE AFRICA
59144273.0,Augusto da Silva Tomás,1219179734.0,Stub,Angola,36.7,MIDDLE AFRICA
70373382.0,Branca Manuel Espirito Santo,1142474441.0,Stub,Angola,36.7,MIDDLE AFRICA
15350356.0,Daniel Ntongi-Nzinga,1187961349.0,Stub,Angola,36.7,MIDDLE AFRICA
11645534.0,David Mendes,1024544204.0,Stub,Angola,36.7,MIDDLE AFRICA
12740205.0,Elias Salupeto Pena,1220287990.0,Start,Angola,36.7,MIDDLE AFRICA
59144241.0,Fernando Faustino Muteka,1241977176.0,Stub,Angola,36.7,MIDDLE AFRICA
78105044.0,Francisco Manuel Monteiro de Queiróz,1250824530.0,Stub,Angola,36.7,MIDDLE AFRICA
76157012.0,Jesus Faria Maiato,1209631313.0,Stub,Angola,36.7,MIDDLE AFRICA
57651944.0,Johnny Eduardo Pinnock,1242307359.0,Stub,Angola,36.7,MIDDLE AFRICA
264097.0,Jonas Savimbi,1246026420.0,GA,Angola,36.7,MIDDLE AFRICA
59124604.0,José Aníbal Lopes Rocha,1242307479.0,Stub,Angola,36.7,MIDDLE AFRICA
76157101.0,José Carvalho da Rocha,1242307441.0,Stub,Angola,36.7,MIDDLE AFRICA
41153135.0,José Filomeno dos Santos,1228399791.0,C,Angola,36.7,MIDDLE AFRICA
77643490.0,José Jacinto Van-Dúnem,1242841039.0,C,Angola,36.7,MIDDLE AFRICA
76157091.0,José Luis de Matos,1242307337.0,Stub,Angola,36.7,MIDDLE AFRICA
57583596.0,José Ndele,1154991360.0,Stub,Angola,36.7,MIDDLE AFRICA
76156726.0,José Vieira Dias Van-Dúnem,1227004140.0,Stub,Angola,36.7,MIDDLE AFRICA
70373537.0,José da Rocha,1153488959.0,Stub,Angola,36.7,MIDDLE AFRICA
72340359.0,João Ernesto dos Santos,1226309621.0,Stub,Angola,36.7,MIDDLE AFRICA
15020148.0,Kambamba Kulaxingo,1093124425.0,Stub,Angola,36.7,MIDDLE AFRICA
66363558.0,Luzia Inglês Van-Dúnem,1240720719.0,Start,Angola,36.7,MIDDLE AFRICA
71062374.0,Luís Gomes Sambo,1242306989.0,Start,Angola,36.7,MIDDLE AFRICA
59144188.0,Manuel Bernardo de Sousa,1233607984.0,Stub,Angola,36.7,MIDDLE AFRICA
76151935.0,Manuel Neto da Costa,1209411144.0,Stub,Angola,36.7,MIDDLE AFRICA
76151917.0,Manuel Tavares de Almeida,1209411217.0,Stub,Angola,36.7,MIDDLE AFRICA
34653679.0,Manuel Vicente,1250493481.0,C,Angola,36.7,MIDDLE AFRICA
76151884.0,Marcos Alexandre Nhunga,1209413818.0,Stub,Angola,36.7,MIDDLE AFRICA
76151944.0,Maria Cândida Pereira Teixeira,1218506469.0,Stub,Angola,36.7,MIDDLE AFRICA
76156747.0,Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,1209513699.0,Stub,Angola,36.7,MIDDLE AFRICA
41094312.0,Mfulupinga Nlando Victor,1243272129.0,Start,Angola,36.7,MIDDLE AFRICA
76151960.0,Paula Cristina Francisco Coelho,1209410923.0,Stub,Angola,36.7,MIDDLE AFRICA
76156762.0,Pedro Mutinde,1209539718.0,Start,Angola,36.7,MIDDLE AFRICA
59124349.0,Pedro Pedalé,1115715527.0,Stub,Angola,36.7,MIDDLE AFRICA
70373806.0,Pinda Simão,1118804168.0,Stub,Angola,36.7,MIDDLE AFRICA
76157000.0,Rosa Luís de Sousa Micolo,1246271741.0,Stub,Angola,36.7,MIDDLE AFRICA
